iter	RMSE
0	0.06338941013
1	0.06276879749
2	0.06227786389
3	0.06141780964
4	0.06072754374
5	0.06000121377
6	0.0594791334
7	0.05896581031
8	0.05819094903
9	0.05757251716
10	0.05708647123
11	0.05667740168
12	0.05619304675
13	0.05575502984
14	0.05529300365
15	0.05489543565
16	0.05444587016
17	0.05410666895
18	0.05343003669
19	0.0529564182
20	0.0527155855
21	0.05253027784
22	0.05217759462
23	0.05188851343
24	0.05156249313
25	0.05113037915
26	0.05090739621
27	0.05047807218
28	0.0500321508
29	0.04986131848
30	0.04940486402
31	0.04879787546
32	0.04832785154
33	0.04803657838
34	0.04782235893
35	0.04759653395
36	0.04729433412
37	0.0470688172
38	0.04671628994
39	0.04653934256
40	0.04626140424
41	0.04602297825
42	0.04576386333
43	0.04550487146
44	0.04513188818
45	0.04473998635
46	0.04450901748
47	0.04424520752
48	0.04403625813
49	0.04371103846
50	0.04347733476
51	0.04321873637
52	0.04306689276
53	0.04292014946
54	0.04265089544
55	0.04232166101
56	0.04210138551
57	0.04192712879
58	0.04165872961
59	0.04136515035
60	0.04105991694
61	0.04082743675
62	0.04062021448
63	0.04043400246
64	0.040252992
65	0.03999763666
66	0.03965633282
67	0.03938064988
68	0.03916820379
69	0.03899576579
70	0.03890291961
71	0.03882538066
72	0.03860609962
73	0.03828810356
74	0.03811269503
75	0.03779619644
76	0.03769499426
77	0.03753529039
78	0.03729101979
79	0.03711632599
80	0.03691676522
81	0.03660637671
82	0.03632542192
83	0.03613870742
84	0.03583813794
85	0.03564878284
86	0.03543594213
87	0.03535634225
88	0.03512422186
89	0.03475370143
90	0.0344946748
91	0.03432020122
92	0.03399472431
93	0.03361958972
94	0.03329992195
95	0.03308009351
96	0.03297799136
97	0.03279401706
98	0.0325508174
99	0.03224294574
100	0.03212808853
101	0.0318949438
102	0.03169319504
103	0.03145650503
104	0.03119863017
105	0.03103057126
106	0.03073816974
107	0.03062488834
108	0.03034216474
109	0.0302361822
110	0.02986145111
111	0.02973333754
112	0.02954648031
113	0.0293954522
114	0.02932769392
115	0.02907524106
116	0.02891204791
117	0.02882891415
118	0.02858855854
119	0.02853397587
120	0.02822753616
121	0.02799958315
122	0.02786627516
123	0.02754622869
124	0.02746748232
125	0.0273578662
126	0.02716847349
127	0.02691297894
128	0.02676256469
129	0.02651771767
130	0.02641025416
131	0.02617824873
132	0.02598008979
133	0.02573254022
134	0.02556746182
135	0.02542104499
136	0.02517115189
137	0.02501035487
138	0.02482787423
139	0.0246631329
140	0.02445178997
141	0.02440417608
142	0.02426745259
143	0.02406842963
144	0.02400627592
145	0.023906956
146	0.02377893733
147	0.02358061081
148	0.02343295971
149	0.02323464091
150	0.02308212714
151	0.02298265232
152	0.02281817345
153	0.02272735838
154	0.0226604614
155	0.02246374902
156	0.02232267864
157	0.02212360859
158	0.0220020829
159	0.02190186258
160	0.02168437327
161	0.02142461626
162	0.02132225435
163	0.02126205343
164	0.02114987917
165	0.02101020538
166	0.02086104495
167	0.02068685291
168	0.02056626508
169	0.02045011208
170	0.02039765259
171	0.02026098868
172	0.02014320262
173	0.02002987786
174	0.01992441546
175	0.01989652156
176	0.01976554103
177	0.01967070279
178	0.01955493879
179	0.01932570186
180	0.01915029469
181	0.01901380434
182	0.01890997146
183	0.01884186749
184	0.01870127126
185	0.01858974652
186	0.01850363285
187	0.01837790874
188	0.01824337831
189	0.01810103335
190	0.01794533694
191	0.0178448911
192	0.01775789306
193	0.01768171937
194	0.01759525293
195	0.01751883563
196	0.01747462816
197	0.01734669394
198	0.01722356225
199	0.01707929784
